Source,Target,Weight
5,address,1
address,global,1
address,concern,1
global,audienc,1
audienc,modern,1
modern,web,1
web,iot,1
web,scale,1
iot,applic,1
iot,time,1
applic,must,1
applic,team,1
must,built,1
built,highli,1
highli,distribut,1
highli,avail,1
distribut,present,1
distribut,system,4
distribut,nosql,1
distribut,databas,1
present,challeng,1
challeng,distribut,1
challeng,riak,2
system,challeng,2
system,expert,1
system,technolog,1
riak,distribut,1
riak,’,3
riak,commun,1
riak,connector,1
riak,perform,1
riak,kv,1
riak,work,1
riak,cluster,1
riak,valuabl,1
riak,proven,1
riak,core,1
expert,work,1
work,applic,1
work,us,1
work,riak,1
team,overcom,1
overcom,distribut,1
’,riak®,1
’,develop,1
’,flexibl,1
’,realli,1
riak®,distribut,1
riak®,provid,1
riak®,kv,1
riak®,ts,1
nosql,databas,1
nosql,distribut,1
databas,deliv,1
databas,easi,1
databas,best-suit,1
databas,power,1
deliv,riak®,1
deliv,advertis,1
provid,still,1
provid,rang,1
still,focus,1
still,employ,1
focus,eas,1
eas,oper,1
eas,futur,1
oper,chose,1
oper,per,1
oper,tapjoy,1
oper,support,1
chose,riak®,2
kv,flexibl,1
kv,redi,1
flexibl,key-valu,1
flexibl,scalabl,1
key-valu,data,1
key-valu,store,1
data,model,1
data,catalog,1
model,web,1
scale,profil,1
scale,busi,1
profil,session,1
session,manag,1
manag,real-tim,1
manag,custom,1
real-tim,big,1
big,data,1
catalog,content,1
content,manag,1
custom,360,1
custom,download,1
360,digit,1
digit,messag,1
messag,use,1
use,case,2
use,we,1
case,chose,1
case,riak,1
ts,iot,1
time,seri,1
time,manner,1
time,rock,1
seri,use,1
commun,provid,1
commun,page,1
rang,support,1
support,profession,1
support,key-valu,1
profession,servic,1
servic,design,1
design,meet,1
meet,need,1
need,open,1
need,martin,1
open,sourc,3
sourc,enterpris,1
sourc,riak,1
sourc,project,1
enterpris,custom,1
download,experi,1
experi,open,1
experi,riak,1
connector,popular,1
popular,distribut,1
technolog,like,1
technolog,bet365,1
like,spark,1
spark,meso,1
meso,commun,1
page,place,1
place,find,1
find,inform,1
inform,open,1
inform,riak,1
project,develop,1
develop,convers,1
develop,recognit,1
develop,workload,1
convers,forum,1
forum,inform,1
recognit,program,1
program,brows,1
brows,latest,1
latest,document,1
document,second,1
second,latenc,1
second,sustain,1
latenc,cost,1
cost,thousand,1
thousand,dollar,1
dollar,outag,1
outag,million,1
million,call,1
call,scalabl,1
scalabl,highli,1
scalabl,databas,1
scalabl,minim,1
avail,databas,1
avail,scalabl,1
easi,operation,1
easi,use,1
operation,resoundingli,1
resoundingli,clear,1
clear,riak,1
perform,promis,1
promis,keep,1
promis,avail,1
keep,light,1
keep,rapidli,1
light,stringent,1
stringent,evalu,1
evalu,process,1
process,decid,1
decid,riak,1
best-suit,need,1
martin,davi,1
davi,ceo,1
davi,site,1
ceo,technolog,1
bet365,initi,1
initi,integr,1
integr,riak,1
redi,apach,1
apach,solr,1
solr,potenti,1
potenti,eas,1
futur,develop,1
workload,consider,1
consider,jason,1
jason,ordway,1
ordway,cto,1
cto,shopkeep,1
shopkeep,po,1
po,riak,1
us,true,1
true,partnership,1
partnership,fashion,1
fashion,keep,1
rapidli,scale,1
busi,alway,1
alway,address,1
concern,time,1
manner,matt,1
matt,davi,1
matt,ranney,1
site,reliabl,1
reliabl,engin,1
engin,openx,1
engin,work,1
engin,"uber""",1
openx,today,1
today,see,1
see,peak,1
peak,well,1
well,250000,1
250000,oper,1
per,second,1
sustain,sub-millisecond,1
sub-millisecond,respons,1
respons,time,1
rock,solid,1
solid,stabil,1
stabil,despit,1
despit,massiv,1
massiv,chang,1
chang,growth,1
growth,still,1
employ,full-tim,1
full-tim,engin,1
cluster,’,1
realli,easi,1
we,jossey,1
jossey,head,1
head,oper,1
tapjoy,riak,1
valuabl,partner,1
partner,transform,1
transform,riak,1
proven,critic,1
critic,compon,1
compon,nosql,1
power,new,1
new,platform,1
platform,bryson,1
bryson,koehler,1
koehler,evp,1
evp,cio,1
cio,weather,1
weather,compani,1
compani,experi,1
core,promis,1
minim,oper,1
store,deliv,1
advertis,matt,1
ranney,senior,1
senior,staff,1
staff,engin,1
